"TIPUS";"X";"Y";"lon";"lat"
"JI";"484047,45409999898";"4644262,31570000015";"2,80752203";"41,95017366"
"JI";"485435,48450000002";"4647667,31020000018";"2,82418431";"41,98086826"
"JI";"485371,48489999899";"4647736,31089998968";"2,82341005";"41,98148853"
"JI";"483870,47619999899";"4646981,32189998962";"2,80531195";"41,97465921"
"JI";"483980,47470000002";"4646780,32070000004";"2,80664511";"41,97285111"
"JI";"483941,47580000001";"4646924,32129998971";"2,80617047";"41,97414728"
"JI";"483754,47430000000";"4646783,32259999029";"2,80391732";"41,97287351"
"JI";"485619,39510000002";"4647233,79019999038";"2,82641600";"41,97696275"
"JI";"485444,47979999898";"4647101,30920000002";"2,82430697";"41,97577065"
"JI";"484924,48369999899";"4647679,31450000033";"2,81801570";"41,98096672"
"JI";"484482,48509999900";"4647936,31859998964";"2,81267351";"41,98327285"
"JI";"484550,48389999900";"4647779,31769999024";"2,81349849";"41,98186014"
"JI";"484721,48590000003";"4647984,31670000032";"2,81555735";"41,98370984"
"JI";"485133,48989999900";"4648385,31400000025";"2,82052070";"41,98732939"
"JI";"485171,86320000002";"4648483,44720000029";"2,82097697";"41,98821276"
"JI";"484872,47970000003";"4647201,31410000008";"2,81740030";"41,97666055"
"JI";"485015,47629999899";"4646758,31209999043";"2,81913764";"41,97267333"
"JI";"485191,47529999900";"4646606,31039998960";"2,82126570";"41,97130764"
"JI";"485241,47200000001";"4646189,30929998960";"2,82187962";"41,96755279"
"JI";"484896,47399999900";"4646507,31269999035";"2,81770781";"41,97041038"
"JI";"484502,47529999900";"4646743,31630000006";"2,81294638";"41,97252830"
"JI";"484407,47269999899";"4646450,31659999024";"2,81180755";"41,96988748"
"JI";"484846,47720000002";"4646901,31379999034";"2,81709421";"41,97395805"
"JI";"485417,47730000003";"4646794,30889999028";"2,82398869";"41,97300511"
"JI";"484314,47240000003";"4646426,31730000023";"2,81068578";"41,96966947"
"JI";"484869,47060000000";"4646101,31219999027";"2,81739239";"41,96675315"
"JI";"484620,47779999900";"4647029,31589998957";"2,81436310";"41,97510652"
"JI";"486684,47970000003";"4646818,29849999025";"2,83928030";"41,97324369"
"JI";"484768,49280000001";"4648816,31769999024";"2,81610315";"41,99120428"
"JI";"484694,49290000001";"4648844,31840000022";"2,81520901";"41,99145503"
"JI";"484744,49449999898";"4649033,31830000039";"2,81580776";"41,99315825"
"JI";"483567,14620000002";"4649443,27960000001";"2,80158594";"41,99682729"
"JI";"484209,47509999899";"4646783,31879999023";"2,80940895";"41,97288276"
"JI";"485888,47300000000";"4646173,30389999039";"2,82968835";"41,96742054"
"JI";"485687,47670000099";"4646663,30640000012";"2,82725066";"41,97183018"
"JI";"485514,47730000003";"4646772,30800000019";"2,82515998";"41,97280875"
"JI";"485672,47759999899";"4646778,30680000037";"2,82706682";"41,97286568"
"JI";"485455,47519999900";"4646533,30810000002";"2,82445379";"41,97065507"
"JI";"485657,47519999900";"4646490,30640000012";"2,82689280";"41,97027148"
